measure,transl,iclass,ps_a,ps_b,ps_Cb,ps_Ob,p_a,p_b,p_Cb,p_Ob,d_a,d_b,d_Cb,d_Ob
m_POS_JJ,Positive|Adjective,degree,0.62,0.65,0.62,0.64,0.0060,0.0000,0.0005,0.0009,0.41,0.53,0.47,0.58
m_SIN_JJ,Singular|Adjective,gram. number,0.67,0.69,0.68,0.72,0.0001,0.0000,0.0000,0.0000,0.54,0.67,0.62,0.74
m_IND_JJ,Indefinite|Adjective,gram. number,0.66,0.72,0.70,0.75,0.0001,0.0000,0.0000,0.0000,0.58,0.81,0.78,0.88
m_UTR_JJ,Uter (common)|Adjective,gram. number,0.66,0.68,0.62,0.76,0.0001,0.0000,0.0008,0.0000,0.58,0.66,0.41,1.01
m_UTR_HD,Uter (common)|Wh-determiner,gram. number,0.62,0.65,0.62,0.69,0.0035,0.0000,0.0005,0.0000,0.42,0.51,0.40,0.65
m_NEU_JJ,Neuter|Adjective,gram. number,0.62,0.68,0.71,0.63,0.0042,0.0000,0.0000,0.0022,0.42,0.62,0.81,0.41
m_UTR_PC,Uter (common)|Participle,gram. number,0.61,0.63,0.60,0.73,0.0084,0.0000,0.0045,0.0000,0.39,0.49,0.37,0.84
p_VB,Verb,verb richness,0.65,0.75,0.77,0.73,0.0003,0.0000,0.0000,0.0000,0.56,0.96,1.11,0.88
r_aux,auxiliary (UD),verb richness,0.65,0.69,0.70,0.71,0.0006,0.0000,0.0000,0.0000,0.53,0.69,0.76,0.67
p_PN,Pronoun,verb richness,0.62,0.71,0.71,0.72,0.0035,0.0000,0.0000,0.0000,0.45,0.79,0.77,0.82
m_SUB_PN,Subject form|Pronoun,verb richness,0.62,0.65,0.62,0.68,0.0044,0.0000,0.0007,0.0000,0.42,0.53,0.41,0.68
r_nsubj,nominal subject (UD),verb richness,0.62,0.70,0.72,0.69,0.0054,0.0000,0.0000,0.0000,0.37,0.74,0.81,0.72
