measure,transl,iclass,ps_a,ps_b,ps_Cb,ps_Ob,p_a,p_b,p_Cb,p_Ob,d_a,d_b,d_Cb,d_Ob
inte,not,Verb-related,0.64,0.65,0.64,0.68,0.0009,0.0000,0.0001,0.0000,0.50,0.57,0.52,0.63
tårarna,the tears,body,0.74,0.76,0.81,0.70,0.0000,0.0000,0.0000,0.0000,0.87,0.96,1.20,0.68
håret,the hair,body,0.70,0.82,0.84,0.79,0.0000,0.0000,0.0000,0.0000,0.77,1.25,1.40,1.07
kinderna,the cheeks,body,0.67,0.69,0.64,0.76,0.0001,0.0000,0.0001,0.0000,0.47,0.54,0.37,0.83
öronen,the ears,body,0.66,0.70,0.73,0.66,0.0001,0.0000,0.0000,0.0003,0.44,0.60,0.81,0.39
hjärtat,the heart,body,0.65,0.67,0.67,0.67,0.0003,0.0000,0.0000,0.0001,0.39,0.44,0.44,0.50
hår,hair,body,0.64,0.70,0.70,0.69,0.0011,0.0000,0.0000,0.0000,0.48,0.67,0.74,0.60
frisyr,hairstyle,body,0.63,0.64,0.66,0.61,0.0017,0.0000,0.0000,0.0084,0.41,0.35,0.52,0.20
kinder,cheeks,body,0.62,0.62,0.63,0.62,0.0051,0.0000,0.0002,0.0070,0.37,0.30,0.29,0.28
magen,the stomach,body,0.61,0.67,0.71,0.62,0.0072,0.0000,0.0000,0.0047,0.41,0.54,0.75,0.35
knäet,the knee,body,0.61,0.65,0.67,0.62,0.0065,0.0000,0.0000,0.0022,0.38,0.56,0.63,0.50
lockar,curls/attracts,body,0.61,0.63,0.62,0.64,0.0084,0.0000,0.0005,0.0009,0.20,0.33,0.44,0.23
klänningen,the dress,dress,0.66,0.69,0.64,0.75,0.0001,0.0000,0.0000,0.0000,0.49,0.59,0.43,0.76
skorna,the shoes,dress,0.65,0.64,0.66,0.62,0.0006,0.0000,0.0000,0.0057,0.42,0.43,0.53,0.34
klänning,dress,dress,0.63,0.68,0.64,0.71,0.0024,0.0000,0.0001,0.0000,0.38,0.51,0.45,0.56
handväskan,the handbag,dress,0.62,0.68,0.67,0.69,0.0032,0.0000,0.0000,0.0000,0.35,0.47,0.47,0.45
väskan,the bag/suitcase,dress,0.61,0.63,0.61,0.64,0.0075,0.0000,0.0020,0.0010,0.27,0.29,0.29,0.29
hemskt,terrible,evaluation (negative),0.68,0.72,0.69,0.75,0.0000,0.0000,0.0000,0.0000,0.65,0.72,0.65,0.82
jobbigt,troublesome,evaluation (negative),0.67,0.71,0.69,0.74,0.0000,0.0000,0.0000,0.0000,0.48,0.65,0.64,0.68
tråkigt,boring,evaluation (negative),0.64,0.65,0.62,0.68,0.0012,0.0000,0.0005,0.0000,0.48,0.51,0.41,0.61
fruktansvärt,terrible,evaluation (negative),0.63,0.67,0.68,0.66,0.0017,0.0000,0.0000,0.0003,0.50,0.61,0.69,0.51
fina,fine,evaluation (positive),0.69,0.70,0.70,0.70,0.0000,0.0000,0.0000,0.0000,0.46,0.60,0.71,0.52
snygg,beautiful/handsome,evaluation (positive),0.69,0.70,0.62,0.79,0.0000,0.0000,0.0006,0.0000,0.59,0.53,0.29,0.80
fint,fine,evaluation (positive),0.69,0.71,0.66,0.77,0.0000,0.0000,0.0000,0.0000,0.62,0.71,0.54,0.91
roligt,fun,evaluation (positive),0.69,0.73,0.75,0.71,0.0000,0.0000,0.0000,0.0000,0.53,0.71,0.88,0.63
härligt,wonderful,evaluation (positive),0.67,0.67,0.62,0.73,0.0000,0.0000,0.0003,0.0000,0.65,0.63,0.51,0.75
ordentligt,properly,evaluation (positive),0.66,0.69,0.70,0.69,0.0001,0.0000,0.0000,0.0000,0.56,0.68,0.73,0.63
fantastiskt,fantastic,evaluation (positive),0.65,0.65,0.60,0.70,0.0005,0.0000,0.0037,0.0000,0.50,0.55,0.35,0.73
söt,sweet,evaluation (positive),0.63,0.69,0.67,0.71,0.0027,0.0000,0.0000,0.0000,0.45,0.63,0.59,0.66
ledsen,sad/sorry,feeling,0.66,0.71,0.68,0.74,0.0001,0.0000,0.0000,0.0000,0.51,0.71,0.67,0.79
arg,angry,feeling,0.66,0.71,0.76,0.64,0.0001,0.0000,0.0000,0.0008,0.43,0.52,0.70,0.37
gråta,cry,feeling,0.65,0.69,0.73,0.62,0.0003,0.0000,0.0000,0.0066,0.47,0.58,0.83,0.31
känns,feels,feeling,0.63,0.65,0.64,0.65,0.0024,0.0000,0.0001,0.0005,0.35,0.31,0.20,0.39
generad,embarrassed,feeling,0.63,0.65,0.63,0.68,0.0023,0.0000,0.0003,0.0000,0.37,0.45,0.29,0.58
glad,happy,feeling (positive),0.74,0.73,0.64,0.82,0.0000,0.0000,0.0001,0.0000,0.84,0.82,0.49,1.22
kär,in love,feeling (positive),0.69,0.67,0.64,0.70,0.0000,0.0000,0.0001,0.0000,0.40,0.45,0.44,0.47
lättad,relieved,feeling (positive),0.68,0.65,0.65,0.66,0.0000,0.0000,0.0000,0.0002,0.60,0.54,0.46,0.65
älskar,love,feeling (positive),0.68,0.67,0.64,0.69,0.0000,0.0000,0.0000,0.0000,0.51,0.42,0.44,0.44
förälskad,in love,feeling (positive),0.68,0.68,0.67,0.69,0.0000,0.0000,0.0000,0.0000,0.59,0.57,0.55,0.57
förtjust,delighted,feeling (positive),0.67,0.65,0.64,0.67,0.0000,0.0000,0.0001,0.0001,0.64,0.41,0.20,0.70
gärna,gladly,feeling (positive),0.67,0.64,0.66,0.61,0.0001,0.0000,0.0000,0.0084,0.53,0.44,0.58,0.29
trivs,enjoy,feeling (positive),0.66,0.67,0.64,0.71,0.0001,0.0000,0.0001,0.0000,0.50,0.51,0.46,0.55
tacksam,grateful,feeling (positive),0.66,0.70,0.70,0.70,0.0001,0.0000,0.0000,0.0000,0.59,0.66,0.66,0.66
glada,happy,feeling (positive),0.66,0.65,0.67,0.63,0.0002,0.0000,0.0000,0.0032,0.53,0.46,0.52,0.40
glatt,happily,feeling (positive),0.64,0.62,0.61,0.63,0.0013,0.0000,0.0019,0.0035,0.37,0.37,0.28,0.44
brytt,cared,feeling (positive),0.62,0.61,0.60,0.64,0.0046,0.0000,0.0030,0.0004,0.24,0.34,0.28,0.51
längtat,longed,feeling (positive),0.61,0.61,0.60,0.62,0.0053,0.0000,0.0024,0.0055,0.29,0.30,0.29,0.32
tacksamt,thankfully,feeling (positive),0.61,0.64,0.64,0.64,0.0055,0.0000,0.0000,0.0005,0.44,0.52,0.52,0.52
laga,prepare (food)/mend,food,0.76,0.72,0.67,0.79,0.0000,0.0000,0.0000,0.0000,0.80,0.69,0.56,0.90
äta,eat,food,0.71,0.75,0.74,0.79,0.0000,0.0000,0.0000,0.0000,0.74,0.91,0.83,1.05
köket,the kitchen,food,0.70,0.70,0.72,0.67,0.0000,0.0000,0.0000,0.0001,0.65,0.63,0.69,0.58
choklad,chocolate,food,0.69,0.65,0.62,0.68,0.0000,0.0000,0.0003,0.0000,0.63,0.55,0.55,0.58
kaffe,coffee,food,0.67,0.65,0.61,0.74,0.0000,0.0000,0.0028,0.0000,0.57,0.44,0.22,0.76
mat,food,food,0.66,0.68,0.67,0.69,0.0001,0.0000,0.0000,0.0000,0.38,0.49,0.52,0.49
tallrik,plate,food,0.65,0.64,0.61,0.64,0.0005,0.0000,0.0013,0.0008,0.43,0.39,0.47,0.32
maten,the food,food,0.63,0.65,0.66,0.64,0.0020,0.0000,0.0000,0.0010,0.51,0.48,0.51,0.42
kaffet,the coffee,food,0.62,0.62,0.62,0.64,0.0065,0.0000,0.0009,0.0012,0.47,0.38,0.37,0.47
fat,saucer,food,0.61,0.64,0.62,0.65,0.0058,0.0000,0.0005,0.0004,0.35,0.48,0.50,0.44
tallriken,the plate,food,0.61,0.66,0.69,0.62,0.0078,0.0000,0.0000,0.0039,0.41,0.47,0.69,0.26
rå,raw,food,0.61,0.67,0.66,0.68,0.0079,0.0000,0.0000,0.0000,0.30,0.53,0.46,0.60
hon,she,gendered (F),0.71,0.77,0.82,0.72,0.0000,0.0000,0.0000,0.0000,0.75,1.04,1.28,0.81
henne,her,gendered (F),0.67,0.74,0.78,0.69,0.0001,0.0000,0.0000,0.0000,0.60,0.88,1.08,0.69
