measure,transl,iclass,ps_a,ps_b,ps_Cb,ps_Ob,p_a,p_b,p_Cb,p_Ob,d_a,d_b,d_Cb,d_Ob
b0694_ledare_Director,Director,authority,0.66,0.70,0.66,0.75,0.0001,0.0000,0.0000,0.0000,0.50,0.61,0.57,0.68
b0737_myndighet_Authority,Authority,authority,0.65,0.67,0.61,0.76,0.0005,0.0000,0.0028,0.0000,0.27,0.30,0.46,0.41
b0741_befallning_Command,Command,authority,0.62,0.69,0.67,0.72,0.0037,0.0000,0.0000,0.0000,0.51,0.78,0.70,0.88
b0745_överordnad_Master,Master,authority,0.61,0.69,0.66,0.71,0.0096,0.0000,0.0000,0.0000,0.48,0.58,0.50,0.71
b0278_riktning_Direction,Direction,direction,0.71,0.64,0.61,0.69,0.0000,0.0000,0.0027,0.0000,0.73,0.56,0.45,0.68
b0284_framdrivning_Propulsion,Propulsion,direction,0.70,0.69,0.69,0.68,0.0000,0.0000,0.0000,0.0000,0.75,0.71,0.67,0.77
b0238_höger_Dextrality,Dextrality,direction,0.69,0.70,0.72,0.65,0.0000,0.0000,0.0000,0.0004,0.66,0.67,0.73,0.56
b0239_vänster_Sinistrality,Sinistrality,direction,0.68,0.71,0.71,0.69,0.0000,0.0000,0.0000,0.0000,0.58,0.61,0.54,0.69
b0181_region_Region,Region,geography,0.67,0.68,0.67,0.70,0.0001,0.0000,0.0000,0.0000,0.60,0.62,0.60,0.68
b0342_land_Land,Land,geography,0.63,0.63,0.60,0.69,0.0015,0.0000,0.0047,0.0000,0.51,0.40,0.29,0.61
b0550_beteckning_Indication,Indication,naming,0.70,0.70,0.68,0.72,0.0000,0.0000,0.0000,0.0000,0.76,0.76,0.67,0.88
b0565_namnförändring_Misnomer,Misnomer,naming,0.64,0.69,0.71,0.65,0.0014,0.0000,0.0000,0.0005,0.44,0.48,0.54,0.36
b0877_titulatur_Title,Title,naming,0.63,0.75,0.78,0.72,0.0024,0.0000,0.0000,0.0000,0.47,0.76,0.91,0.67
b0564_benämning_Nomenclature,Nomenclature,naming,0.63,0.67,0.66,0.67,0.0024,0.0000,0.0000,0.0001,0.41,0.61,0.60,0.58
b0098_femtal och däröver_Five,Five,quantification,0.67,0.72,0.72,0.73,0.0001,0.0000,0.0000,0.0000,0.59,0.73,0.81,0.77
b0196_avstånd_Distance,Distance,quantification,0.67,0.69,0.65,0.72,0.0001,0.0000,0.0000,0.0000,0.62,0.69,0.56,0.84
b0466_uppskattning_Measurement,Measurement,quantification,0.64,0.69,0.74,0.62,0.0010,0.0000,0.0000,0.0065,0.54,0.68,0.88,0.43
b0025_kvantitet_Quantity,Quantity,quantification,0.61,0.64,0.61,0.67,0.0078,0.0000,0.0027,0.0001,0.37,0.47,0.40,0.55
b0496_grundsats_Maxim,Maxim,reasoning,0.66,0.71,0.73,0.66,0.0001,0.0000,0.0000,0.0001,0.61,0.76,0.75,0.75
b0477_tankefel_Intuition,Intuition,reasoning,0.64,0.67,0.60,0.74,0.0008,0.0000,0.0036,0.0000,0.47,0.63,0.47,0.87
b0697_föreskrift_Precept,Precept,reasoning,0.61,0.67,0.67,0.66,0.0097,0.0000,0.0000,0.0001,0.37,0.63,0.67,0.57
b0976_gudom_Deity,Deity,religion,0.62,0.69,0.66,0.73,0.0047,0.0000,0.0000,0.0000,0.42,0.63,0.55,0.77
b0997_lekman_Laity,Laity,religion,0.62,0.69,0.72,0.68,0.0060,0.0000,0.0000,0.0000,0.46,0.68,0.72,0.70
b0302_genomgång_Passage,Passage,travel,0.71,0.69,0.60,0.79,0.0000,0.0000,0.0036,0.0000,0.70,0.65,0.38,0.96
b0271_fortskaffare_Carrier,Carrier,travel,0.66,0.68,0.69,0.71,0.0002,0.0000,0.0000,0.0000,0.30,0.35,0.28,0.50
b0268_vägfarande_Traveler,Traveler,travel,0.64,0.65,0.62,0.69,0.0007,0.0000,0.0008,0.0000,0.35,0.40,0.28,0.58
b0722_krigföring_Warfare,Warfare,violence,0.71,0.76,0.72,0.80,0.0000,0.0000,0.0000,0.0000,0.60,0.76,0.68,0.96
b0727_vapen_Arms,Arms,violence,0.70,0.75,0.75,0.74,0.0000,0.0000,0.0000,0.0000,0.73,0.89,0.84,0.96
b0726_stridsman_Combatant,Combatant,violence,0.70,0.75,0.76,0.77,0.0000,0.0000,0.0000,0.0000,0.51,0.60,0.59,0.70
b0891_ovän_Enemy,Enemy,violence,0.67,0.74,0.71,0.77,0.0001,0.0000,0.0000,0.0000,0.54,0.71,0.70,0.77
b0710_motståndare_Opponent,Opponent,violence,0.66,0.70,0.68,0.71,0.0002,0.0000,0.0000,0.0000,0.51,0.58,0.52,0.65
b0716_anfall_Attack,Attack,violence,0.65,0.67,0.60,0.77,0.0005,0.0000,0.0046,0.0000,0.61,0.65,0.40,1.00
b0974_ansvarspåföljd_Penalty,Penalty,violence,0.64,0.67,0.65,0.68,0.0012,0.0000,0.0000,0.0000,0.38,0.53,0.52,0.53
b0792_tjuv_Thief,Thief,violence,0.63,0.65,0.64,0.65,0.0022,0.0000,0.0001,0.0004,0.21,0.26,0.22,0.32
b0975_bestraffningsmedel_Scourge,Scourge,violence,0.63,0.62,0.61,0.63,0.0024,0.0000,0.0013,0.0023,0.46,0.43,0.42,0.43
b0752_fängelse_Prison,Prison,violence,0.62,0.68,0.66,0.70,0.0039,0.0000,0.0000,0.0000,0.38,0.59,0.54,0.65
b0711_hjälpare_Auxiliary,Auxiliary,x,0.66,0.64,0.61,0.65,0.0001,0.0000,0.0016,0.0007,0.65,0.55,0.47,0.62
b0064_föregångare_Precursor,Precursor,x,0.65,0.64,0.61,0.66,0.0005,0.0000,0.0014,0.0002,0.61,0.48,0.40,0.63
b0076_omfattning_Inclusion,Inclusion,x,0.64,0.64,0.61,0.67,0.0007,0.0000,0.0016,0.0001,0.50,0.49,0.44,0.54
b0138_regelbundenhet_Regularity of recurrence,Regularity of recurrence,x,0.64,0.70,0.71,0.68,0.0010,0.0000,0.0000,0.0000,0.43,0.66,0.67,0.64
b0088_beledsagning_Accompaniment,Accompaniment,x,0.64,0.65,0.63,0.65,0.0012,0.0000,0.0002,0.0004,0.51,0.59,0.52,0.67
b018050_saknad av utsträckning_Inextension,Inextension,x,0.64,0.64,0.63,0.65,0.0011,0.0000,0.0001,0.0004,0.46,0.52,0.59,0.47
b0786_fördelning_Apportionment,Apportionment,x,0.63,0.66,0.65,0.65,0.0017,0.0000,0.0000,0.0005,0.48,0.59,0.50,0.67
b0111_kortvarighet_Transientness,Transientness,x,0.63,0.65,0.66,0.62,0.0021,0.0000,0.0000,0.0049,0.49,0.61,0.64,0.54
b0021_avbild_Copy,Copy,x,0.63,0.62,0.62,0.62,0.0024,0.0000,0.0007,0.0076,0.46,0.42,0.45,0.36
b0632_medel_Means,Means,x,0.63,0.68,0.65,0.71,0.0025,0.0000,0.0000,0.0000,0.53,0.66,0.52,0.83
b0054_inbegrepp_Composition,Composition,x,0.62,0.65,0.63,0.67,0.0043,0.0000,0.0002,0.0001,0.47,0.58,0.52,0.63
b0198_mellanrum_Interval,Interval,x,0.62,0.64,0.60,0.68,0.0046,0.0000,0.0041,0.0000,0.44,0.50,0.42,0.61
b0230_gränslinje_Outline,Outline,x,0.62,0.61,0.60,0.62,0.0062,0.0000,0.0042,0.0058,0.41,0.43,0.39,0.44
