measure,transl,iclass,ps_a,ps_b,ps_Cb,ps_Ob,p_a,p_b,p_Cb,p_Ob,d_a,d_b,d_Cb,d_Ob
p_DT,Determiner,NP complexity,0.75,0.80,0.80,0.78,0.0000,0.0000,0.0000,0.0000,0.94,1.12,1.24,1.01
r_det,determiner (UD),NP complexity,0.75,0.79,0.80,0.77,0.0000,0.0000,0.0000,0.0000,0.93,1.12,1.23,1.00
p_RG,Cardinal number,NP complexity,0.68,0.75,0.80,0.68,0.0000,0.0000,0.0000,0.0000,0.75,0.98,1.14,0.69
p_NN,Noun,NP complexity,0.68,0.72,0.66,0.78,0.0000,0.0000,0.0000,0.0000,0.60,0.77,0.64,0.95
r_nummod,numeric modifier (UD),NP complexity,0.68,0.79,0.83,0.72,0.0000,0.0000,0.0000,0.0000,0.73,1.12,1.27,0.89
r_nmod,nominal modifier (UD),NP complexity,0.68,0.76,0.75,0.77,0.0000,0.0000,0.0000,0.0000,0.62,0.98,0.99,0.96
p_RO,Ordinal number,NP complexity,0.68,0.73,0.72,0.75,0.0000,0.0000,0.0000,0.0000,0.67,0.76,0.89,0.76
p_PC,Participle,NP complexity,0.63,0.64,0.61,0.68,0.0030,0.0000,0.0013,0.0000,0.44,0.53,0.42,0.68
p_HP,Wh-pronoun,NP complexity,0.63,0.62,0.62,0.62,0.0031,0.0000,0.0007,0.0074,0.46,0.48,0.45,0.48
r_amod,adjectival modifier (UD),NP complexity,0.62,0.68,0.71,0.66,0.0057,0.0000,0.0000,0.0003,0.44,0.71,0.82,0.65
m_GEN_NN,Genitive|Noun,NP complexity,0.62,0.68,0.66,0.72,0.0066,0.0000,0.0000,0.0000,0.44,0.69,0.68,0.74
m_KOM_AB,Comparative|Adverb,degree,0.69,0.70,0.70,0.69,0.0000,0.0000,0.0000,0.0000,0.70,0.72,0.69,0.73
m_SUV_AB,Superlative|Adverb,degree,0.62,0.67,0.68,0.64,0.0055,0.0000,0.0000,0.0012,0.46,0.65,0.66,0.62
m_MAS_JJ,Masculine|Adjective,gendered (M),0.67,0.72,0.74,0.70,0.0001,0.0000,0.0000,0.0000,0.64,0.83,0.91,0.78
m_MAS_PN,Masculine|Pronoun,gendered (M),0.61,0.71,0.72,0.70,0.0059,0.0000,0.0000,0.0000,0.45,0.69,0.76,0.63
m_UTR/NEU_JJ,UTR/NEU|Adjective,gram. number,0.66,0.69,0.67,0.74,0.0002,0.0000,0.0000,0.0000,0.55,0.71,0.64,0.83
m_IND/DEF_JJ,IND/DEF|Adjective,gram. number,0.64,0.65,0.63,0.68,0.0009,0.0000,0.0002,0.0000,0.43,0.52,0.49,0.58
m_PLU_PN,Plural|Pronoun,gram. number,0.61,0.66,0.60,0.73,0.0095,0.0000,0.0039,0.0000,0.40,0.51,0.25,0.89
