id,isbn,title,all_authors,author_gender,publisher,publication_date,format,category,all_narrators,narrator_gender,hb_year,hb_pos,pb_year,pb_pos,str_year,str_pos
bstream_001,9789113065588,Alla kan se dig,Anna Jansson,F,Norstedts,2015-03-19,beststreamer,CRIME,Marie Richardson,F,no,no,no,no,2015,13
bstream_002,9789113049991,"Falleri, fallera, falleralla",Carin Gerhardsen,F,Norstedts,2015-05-21,beststreamer,CRIME,Stefan Sauk,M,no,no,no,no,2015,17
bstream_003,9789174614206,Hämnaren,"Dag Öhrlund, Dan Buthler",M,Lind & Co,2015-04-15,beststreamer,CRIME,Stefan Sauk,M,no,no,no,no,2015,6
bstream_004,9789173489492,Vita spår,Emelie Schepp,F,Bonnier Audio,2015-05-19,beststreamer,CRIME,Katarina Ewerlöf,F,no,no,no,no,2015,20
bstream_005,9789174614541,Dominodöden,Jonas Moström,M,Lind & Co,2015-07-20,beststreamer,CRIME,Marie Richardson,F,no,no,no,no,2015,14
bstream_006,9789176510285,Den gränslöse,Jussi Adler-Olsen,M,Bonnier Audio,2015-05-04,beststreamer,CRIME,Stefan Sauk,M,no,no,no,no,2015,5
bstream_007,9789176510698,Skymningsflickan,Katarina Wennstam,F,Bonnier Audio,2015-07-31,beststreamer,CRIME,Alexandra Rapaport,F,no,no,no,no,2015,19
bstream_008,9789173489553,En mörkare himmel : Gran Canaria,"Mari Jungstedt, Ruben Eliassen",2,Bonnier Audio,2014-12-30,beststreamer,CRIME,Magnus Roosmann,M,no,no,no,no,2015,15
bstream_009,9789176510636,I sanningens namn,Viveca Sten,F,Bonnier Audio,2015-11-04,beststreamer,CRIME,Katarina Ewerlöf,F,no,no,no,no,2015,12
bstream_010,9789113071169,Rädslans fångar : Ett nytt fall för Maria Wern,Anna Jansson,F,Norstedts,2016-03-10,beststreamer,CRIME,Marie Richardson,F,no,no,no,no,2016,14
bstream_011,9789176511329,Kärlek sökes,Carin Hjulström,F,Bonnier Audio,2016-04-13,beststreamer,OTHER,Gunilla Leining,F,no,no,no,no,2016,19
