measure,transl,iclass,a,b,Cb,Ob,aMd0,aMd1,a_p,b_p,Cb_p,Ob_p,a_d,b_d,Cb_d,Ob_d
m_SIN_NN,Singular|Noun,gram. number,0.58,0.60,0.62,0.58,792398,788416,0.06116,0.00033,0.00099,0.05275,0.29,0.37,0.47,0.31
m_SIN_PN,Singular|Pronoun,gram. number,0.62,0.63,0.54,0.73,824312,810867,0.00614,0.00000,0.27875,0.00000,0.38,0.43,0.07,0.87
m_SIN_JJ,Singular|Adjective,gram. number,0.67,0.69,0.68,0.72,694186,673609,0.00006,0.00000,0.00000,0.00000,0.54,0.67,0.62,0.74
m_SIN_DT,Singular|Determiner,gram. number,0.49,0.58,0.54,0.63,846760,847313,0.85349,0.00556,0.28301,0.00248,-0.03,0.26,0.10,0.45
m_SIN_PC,Singular|Participle,gram. number,0.60,0.58,0.55,0.67,554466,538793,0.01761,0.00284,0.15646,0.00013,0.37,0.32,0.18,0.63
m_PLU_NN,Plural|Noun,gram. number,0.41,0.41,0.40,0.41,200780,207984,0.04277,0.00064,0.00335,0.03426,-0.30,-0.35,-0.41,-0.33
m_PLU_PN,Plural|Pronoun,gram. number,0.39,0.34,0.40,0.27,103667,111990,0.00954,0.00000,0.00392,0.00000,-0.40,-0.51,-0.25,-0.89
m_PLU_JJ,Plural|Adjective,gram. number,0.38,0.37,0.40,0.34,178309,192034,0.00639,0.00000,0.00518,0.00016,-0.36,-0.44,-0.38,-0.53
m_PLU_DT,Plural|Determiner,gram. number,0.51,0.44,0.47,0.38,135157,133587,0.72902,0.01758,0.38892,0.00617,0.02,-0.23,-0.09,-0.44
m_PLU_PC,Plural|Participle,gram. number,0.38,0.42,0.44,0.38,206391,227814,0.00666,0.00203,0.07939,0.00622,-0.40,-0.36,-0.30,-0.46
